dataset_id,subtask_A,subtask_B,subtask_C1,subtask_C2
18878,ABUS,OTH,0,0
21533,ABUS,IND,0,0
26206,ABUS,GRP,0,0
18888,ABUS,GRP,0,0
17798,ABUS,IND,0,0
22829,ABUS,GRP,1,neosex
9497,ABUS,OTH,0,0
22236,ABUS,UNT,0,0
6763,ABUS,IND,0,0
22170,ABUS,IND,0,0
6134,ABUS,IND,0,0
17729,ABUS,IND,0,0
19915,ABUS,GRP,1,neosex
7191,ABUS,IND,0,0
23006,ABUS,GRP,1,neosex
3540,ABUS,IND,0,0
14150,ABUS,GRP,1,neosex
14926,ABUS,GRP,1,discredit
24720,ABUS,GRP,0,0
17149,ABUS,UNT,0,0
14894,ABUS,GRP,1,neosex
19876,ABUS,GRP,1,neosex
19123,ABUS,IND,0,0
8506,ABUS,UNT,0,0
19866,ABUS,GRP,1,neosex
3747,ABUS,IND,0,0
7250,ABUS,GRP,1,neosex
19022,ABUS,GRP,1,discredit
20047,ABUS,OTH,0,0
24016,ABUS,GRP,0,0
9725,ABUS,OTH,0,0
12452,ABUS,IND,0,0
3270,ABUS,IND,0,0
17748,ABUS,OTH,0,0
10951,ABUS,IND,0,0
26611,ABUS,OTH,0,0
3913,ABUS,IND,0,0
14187,ABUS,GRP,1,discredit
7792,ABUS,IND,0,0
3389,ABUS,IND,0,0
27871,ABUS,GRP,1,discredit
14538,ABUS,UNT,0,0
9128,ABUS,IND,0,0
4052,ABUS,GRP,1,neosex
10761,ABUS,OTH,0,0
12427,ABUS,IND,0,0
3070,ABUS,GRP,1,neosex
7687,ABUS,IND,0,0
8652,ABUS,IND,0,0
11387,ABUS,GRP,0,0
4708,ABUS,GRP,1,benevolent
24165,ABUS,OTH,0,0
21961,ABUS,IND,0,0
4241,ABUS,GRP,0,0
17163,ABUS,UNT,0,0
5251,ABUS,IND,0,0
4281,ABUS,GRP,1,neosex
11602,ABUS,IND,0,0
21816,ABUS,GRP,1,neosex
19645,ABUS,OTH,0,0
12858,ABUS,IND,0,0
19605,ABUS,GRP,1,neosex
12286,ABUS,GRP,1,neosex
19040,ABUS,IND,0,0
16599,ABUS,GRP,0,0
4207,ABUS,GRP,1,neosex
18479,ABUS,OTH,0,0
16053,ABUS,GRP,1,neosex
8811,ABUS,OTH,0,0
8897,ABUS,GRP,0,0
19955,ABUS,UNT,0,0
1091,ABUS,GRP,1,neosex
17310,ABUS,UNT,0,0
3795,ABUS,IND,0,0
326,ABUS,IND,0,0
22247,ABUS,GRP,1,neosex
1264,ABUS,GRP,1,neosex
3413,ABUS,IND,0,0
2559,ABUS,IND,0,0
15064,ABUS,GRP,1,neosex
11624,ABUS,GRP,1,neosex
21269,ABUS,IND,0,0
10525,ABUS,IND,0,0
14063,ABUS,GRP,1,neosex
2299,ABUS,IND,0,0
3292,ABUS,IND,0,0
26607,ABUS,UNT,0,0
21339,ABUS,GRP,0,0
19495,ABUS,UNT,0,0
11120,ABUS,GRP,1,benevolent
17857,ABUS,IND,0,0
6769,ABUS,GRP,1,stereotype
11155,ABUS,UNT,0,0
1844,ABUS,UNT,0,0
22725,ABUS,GRP,0,0
7345,ABUS,UNT,0,0
2718,ABUS,IND,0,0
17216,ABUS,GRP,1,discredit
9421,ABUS,OTH,0,0
10641,ABUS,GRP,1,neosex
15027,ABUS,GRP,1,neosex
10829,ABUS,GRP,1,neosex
13834,ABUS,IND,0,0
7394,ABUS,UNT,0,0
4325,ABUS,GRP,1,neosex
9309,ABUS,GRP,1,neosex
7243,ABUS,IND,0,0
19309,ABUS,GRP,0,0
14950,ABUS,UNT,0,0
10313,ABUS,OTH,0,0
14705,ABUS,IND,0,0
9499,ABUS,GRP,1,neosex
17926,ABUS,IND,0,0
15092,ABUS,IND,0,0
11286,ABUS,UNT,0,0
10915,ABUS,IND,0,0
7189,ABUS,IND,0,0
22184,ABUS,UNT,0,0
1635,ABUS,IND,0,0
19636,ABUS,GRP,0,0
10890,ABUS,GRP,0,0
18706,ABUS,IND,0,0
20093,ABUS,IND,0,0
14278,ABUS,IND,0,0
22567,ABUS,GRP,0,0
115,ABUS,GRP,1,discredit
11975,ABUS,GRP,0,0
17321,ABUS,GRP,1,sexual_harassment
26039,ABUS,GRP,1,neosex
19307,ABUS,GRP,1,neosex
1615,ABUS,IND,0,0
14122,ABUS,IND,0,0
6339,ABUS,IND,0,0
10027,ABUS,IND,0,0
25028,ABUS,UNT,0,0
17574,ABUS,IND,0,0
10088,ABUS,IND,0,0
21510,ABUS,IND,0,0
8374,ABUS,GRP,1,discredit
17789,ABUS,IND,0,0
13843,ABUS,OTH,0,0
14818,ABUS,IND,0,0
20863,ABUS,IND,0,0
68,ABUS,GRP,0,0
7694,ABUS,IND,0,0
17570,ABUS,IND,0,0
5948,ABUS,GRP,0,0
23308,ABUS,IND,0,0
10562,ABUS,GRP,1,neosex
12463,ABUS,IND,0,0
16572,ABUS,GRP,1,neosex
13239,ABUS,GRP,1,dominance
26,ABUS,GRP,1,discredit
6795,ABUS,GRP,0,0
8890,ABUS,IND,0,0
283,ABUS,IND,0,0
6984,ABUS,GRP,1,discredit
3322,ABUS,IND,0,0
19789,ABUS,GRP,1,neosex
17604,ABUS,IND,0,0
19542,ABUS,GRP,1,neosex
9736,ABUS,IND,0,0
7409,ABUS,IND,0,0
12482,ABUS,IND,0,0
11326,ABUS,GRP,0,0
9765,ABUS,OTH,0,0
18477,ABUS,IND,0,0
15033,ABUS,IND,0,0
24386,ABUS,UNT,0,0
14402,ABUS,UNT,0,0
1277,ABUS,GRP,1,neosex
9318,ABUS,UNT,0,0
12516,ABUS,IND,0,0
3356,ABUS,IND,0,0
3178,ABUS,IND,0,0
22798,ABUS,UNT,0,0
14070,ABUS,OTH,0,0
14095,ABUS,GRP,1,neosex
9372,ABUS,IND,0,0
