dataset_id,subtask_A,subtask_B,subtask_C1,subtask_C2
8,ABUS,GRP,1,discredit
23,ABUS,GRP,1,neosex
24,ABUS,GRP,1,neosex
26,ABUS,GRP,1,discredit
39,ABUS,GRP,1,stereotype
40,ABUS,GRP,1,neosex
41,ABUS,GRP,1,neosex
48,ABUS,GRP,1,neosex
60,ABUS,GRP,1,discredit
67,ABUS,GRP,1,sexual_harassment
73,ABUS,GRP,1,discredit
111,ABUS,GRP,1,neosex
112,ABUS,GRP,1,neosex
114,ABUS,GRP,1,neosex
115,ABUS,GRP,1,discredit
116,ABUS,GRP,1,discredit
118,ABUS,GRP,1,neosex
119,ABUS,GRP,1,neosex
123,ABUS,GRP,1,neosex
124,ABUS,GRP,1,stereotype
162,ABUS,GRP,1,sexual_harassment
269,ABUS,GRP,1,stereotype
275,ABUS,GRP,1,stereotype
295,ABUS,GRP,1,stereotype
329,ABUS,GRP,1,sexual_harassment
360,ABUS,GRP,1,stereotype
427,ABUS,GRP,1,neosex
594,ABUS,GRP,1,stereotype
620,ABUS,GRP,1,discredit
624,ABUS,GRP,1,stereotype
658,ABUS,GRP,1,discredit
679,ABUS,GRP,1,neosex
713,ABUS,GRP,1,discredit
724,ABUS,GRP,1,discredit
735,ABUS,GRP,1,discredit
738,ABUS,GRP,1,neosex
746,ABUS,GRP,1,neosex
788,ABUS,GRP,1,neosex
822,ABUS,GRP,1,neosex
881,ABUS,GRP,1,stereotype
922,ABUS,GRP,1,dominance
929,ABUS,GRP,1,neosex
968,ABUS,GRP,1,neosex
1067,ABUS,GRP,1,neosex
1089,ABUS,GRP,1,neosex
1091,ABUS,GRP,1,neosex
1103,ABUS,GRP,1,neosex
1104,ABUS,GRP,1,neosex
1110,ABUS,GRP,1,neosex
1120,ABUS,GRP,1,neosex
1125,ABUS,GRP,1,stereotype
1128,ABUS,GRP,1,neosex
1133,ABUS,GRP,1,neosex
1150,ABUS,GRP,1,neosex
1162,ABUS,GRP,1,neosex
1173,ABUS,GRP,1,neosex
1182,ABUS,GRP,1,sexual_harassment
1187,ABUS,GRP,1,neosex
1195,ABUS,GRP,1,neosex
1223,ABUS,GRP,1,neosex
1243,ABUS,GRP,1,neosex
1245,ABUS,GRP,1,neosex
1248,ABUS,GRP,1,neosex
1254,ABUS,GRP,1,neosex
1263,ABUS,GRP,1,neosex
1264,ABUS,GRP,1,neosex
1268,ABUS,GRP,1,neosex
1277,ABUS,GRP,1,neosex
1279,ABUS,GRP,1,neosex
1298,ABUS,GRP,1,neosex
1315,ABUS,GRP,1,neosex
